Nombre,GK,CWP,CBT,SB,DM,WB,CM,SM,AM,WG,SS,CF,X1,Height,Foot,Side,WFA,WFF,Attack,Defense,Balance,Stamina,Speed,Acceleration,Response,Agility,Dribble_Accuracy,Dribble_Speed,Short_Pass_Accuracy,Short_Pass_Speed,Long_Pass_Accuracy,Long_Pass_Speed,Shot_Accuracy,Shot_Power,Shot_Technique,Free_Kick_Accuracy,Swerve,Heading,Jump,Technique,Agression,Mentality,GK_Skills,Teamwork,Consistency,Condition,Dribbling,Tactical_Dribble,Positioning,Reaction,Playmarking,Passing,Scoring,1_1_Scoring,Post_Player,Lines,Middle_Shooting,Side,Centre,Penalties,1_Touch_Pass,Outside,Marking,Sliding,Covering,D_Line_Control,Penalty_Stopper,1_On_1_Stopper,Long_Throw,Injury_Tolerancy,X3,X4,X5,X6,Age,Weight,Pais,N_Pais,X7,Club,N_Club
Pablo Pedraza,0,0,1,0,0,0,0,0,0,0,0,0,3,190,L,L,3,3,46,71,78,72,70,70,75,70,69,71,65,66,64,65,61,77,63,59,60,67,75,67,61,69,40,72,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,25,83,Bolivia,0,0,A.C. Barnechea,6
Thiago Neves,0,0,0,0,0,0,0,1,1,0,1,0,9,182,L,B,4,3,77,42,76,72,73,77,75,75,83,80,81,83,81,82,77,86,83,82,83,73,71,84,82,73,50,72,8,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,B,1,1,1,1,34,70,Brazil,0,0,Grêmio FBPA,10
Jan Bednarek,0,0,1,0,1,0,0,0,0,0,0,0,3,190,R,B,4,4,58,79,84,82,75,75,80,74,69,72,69,68,67,72,62,80,64,50,60,78,77,68,65,75,50,72,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,23,77,Poland,5,0,Southampton FC,35
S. Cordero,0,0,1,1,1,0,1,0,0,0,0,0,4,177,L,L,5,4,58,61,72,76,72,73,79,76,79,74,73,65,72,74,55,78,67,69,66,65,80,69,61,69,40,77,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,24,70,Chile,0,0,Deportes Antofagasta,14
Kevin Vázquez,0,0,0,1,0,0,0,0,0,0,0,0,4,173,R,R,4,4,66,62,72,81,81,80,73,79,74,81,73,74,74,76,59,74,60,60,68,65,70,76,76,68,50,69,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,26,72,Spain,0,0,RC Celta de Vigo,20
Luan,0,0,0,0,0,0,0,1,0,1,0,0,10,180,R,B,4,4,70,48,71,78,77,83,72,78,77,83,69,67,73,70,66,73,66,66,66,64,63,81,80,65,50,62,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,21,72,Brazil,0,0,SE Palmeiras,41
Brahim Díaz,0,0,0,0,0,0,0,1,1,1,1,0,9,170,L,R,8,7,66,30,80,72,81,85,70,81,84,82,71,70,66,65,69,82,68,55,60,62,62,81,81,63,50,63,8,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,19,68,Spain,0,0,Real Madrid CF,21
Ondrej Duda,0,0,0,0,0,0,0,0,1,0,1,0,9,183,R,B,6,6,76,45,73,80,76,76,77,81,84,78,77,74,74,73,72,78,72,62,74,65,73,83,81,64,50,77,8,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,1,1,1,1,23,75,Slovakia,8,0,Norwich City FC,25
Santiago Sosa,0,0,0,0,1,0,1,0,0,0,0,0,5,179,R,B,5,5,60,63,78,77,75,78,73,78,77,72,70,77,69,64,63,69,64,56,66,63,72,79,79,63,50,74,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,19,78,Argentina,0,0,River Plate,13
Jannik Huth,1,0,0,0,0,0,0,0,0,0,0,0,0,185,R,B,4,4,30,74,81,59,59,60,82,69,50,52,55,56,56,63,41,71,44,42,41,44,77,47,62,70,75,70,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,25,80,Germany,0,0,SC Paderborn 07,21
