Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technical,Aggression,Anticipation,Bravery,Composure,Concentration,Decisions,Determination,Flair,Leadership,Off The Ball,Positioning,Teamwork,Vision,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Height_PSD,Foot_PSD,Side_PSD,WFA_PSD,WFF_PSD,Attack_PSD,Defense_PSD,Balance_PSD,Stamina_PSD,Speed_PSD,Acceleration_PSD,Response_PSD,Agility_PSD,Dribble_Accuracy_PSD,Dribble_Speed_PSD,Short_Pass_Accuracy_PSD,Short_Pass_Speed_PSD,Long_Pass_Accuracy_PSD,Long_Pass_Speed_PSD,Shot_Accuracy_PSD,Shot_Power_PSD,Shot_Technique_PSD,Free_Kick_Accuracy_PSD,Swerve_PSD,Heading_PSD,Jump_PSD,Technique_PSD,Agression_PSD,Mentality_PSD,GK_Skills_PSD,Teamwork_PSD,Consistency_PSD,Condition_PSD,Dribbling_SA,Tactical_Dribble_SA,Positioning_SA,Reaction_SA,Playmarking_SA,Passing_PA,Scoring_PA,1_1_Scoring_PA,Post_Player_PA,Lines_PA,Middle_Shooting_PA,Side_PA,Centre_PA,Penalties_PA,1_Touch_Pass_SA,Outside_PA,Marking_PA,Sliding_PA,Covering_PA,D_Line_Control_SA,Penalty_Stopper_PA,1_On_1_Stopper_PA,Long_Throw_PA,Injury_Tolerancy_PSD,Age,Weight
15,15,20,20,19,19,10,17,4,4,20,17,7,20,7,19,10,18,13,20,20,20,14,16,5,14,20,7,18,20,20,6,14,15,13,9,170,L,R,6,4,99,40,85,72,80,88,89,90,99,94,95,83,96,80,99,84,85,97,93,75,68,97,87,83,50,65,8,6,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,B,32,72
13,15,15,19,17,15,19,19,2,3,15,20,8,17,6,18,16,14,16,18,20,18,17,18,6,10,14,10,15,13,14,18,20,16,15,16,186,R,L,8,6,98,30,77,81,85,83,94,79,89,77,84,83,83,88,88,93,88,74,82,95,96,93,97,90,50,68,8,4,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,A,35,80
6,7,11,8,13,10,17,9,7,15,15,8,15,13,10,14,15,13,14,13,16,10,14,12,14,15,13,16,12,14,14,15,13,12,15,15,189,R,B,5,5,66,80,88,82,81,76,86,71,78,75,78,78,76,79,68,85,69,65,67,83,84,78,70,77,50,75,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,A,20,89
13,15,15,18,16,17,14,16,8,8,16,12,10,17,17,16,17,17,15,15,19,18,15,17,10,15,16,16,14,14,12,13,16,14,15,13,182,R,B,6,6,91,47,88,89,68,78,94,75,85,75,84,75,84,75,89,85,97,87,88,82,71,90,95,87,50,78,8,3,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,A,32,86
13,12,18,15,16,11,7,14,6,4,13,11,5,16,10,11,11,10,9,10,12,17,5,14,6,8,13,10,19,19,10,9,14,18,12,10,178,L,B,8,8,85,42,77,82,92,94,73,88,83,95,82,77,82,75,77,83,74,68,79,63,62,85,85,68,50,69,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,22,67
7,12,15,13,12,7,10,12,5,2,11,12,3,15,9,11,10,11,9,11,15,17,5,13,5,6,11,6,16,17,13,8,15,15,8,9,178,R,B,4,4,73,47,68,74,85,90,70,92,85,87,78,70,67,68,75,75,62,50,72,53,72,83,87,64,50,68,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,16,65
14,17,17,18,19,15,15,14,4,5,15,13,11,17,13,15,13,14,15,15,17,17,14,18,10,13,16,15,15,15,15,9,15,14,13,10,176,L,B,6,5,92,58,80,90,81,86,88,85,86,86,85,80,83,80,87,82,89,82,84,83,82,93,88,80,50,83,8,4,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,B,27,68
10,12,12,12,14,9,15,13,10,15,14,18,17,15,20,14,19,15,16,13,20,13,16,16,12,14,12,20,12,11,15,12,18,11,17,13,180,R,B,6,5,78,78,80,92,75,75,90,72,81,77,83,83,85,84,80,84,78,75,77,78,89,84,80,88,50,82,8,5,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,A,32,75
9,11,16,7,17,13,10,8,6,10,16,11,12,16,7,16,13,16,15,16,16,15,12,15,13,17,17,15,14,16,13,10,13,13,13,9,180,R,B,5,5,76,70,76,90,78,82,82,86,87,95,87,78,81,74,64,73,63,58,83,70,78,87,68,76,50,93,8,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,A,22,74
18,15,14,13,16,16,8,18,10,9,17,16,11,16,11,14,12,14,14,15,12,12,14,15,11,15,16,13,12,11,11,12,12,14,13,14,184,R,L,6,6,77,65,77,83,70,70,80,68,83,74,87,85,90,87,81,87,81,81,84,70,75,86,72,78,50,83,8,4,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,A,31,78
12,12,15,10,16,13,7,10,10,11,18,14,12,16,10,18,12,14,16,16,16,16,11,14,14,15,16,15,14,14,16,8,12,13,12,10,171,R,B,5,4,76,64,79,86,77,84,77,83,87,78,86,86,84,76,72,76,73,73,78,66,68,86,76,78,50,91,8,6,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,B,23,73
